ph,lat_centroide,lon_centroide,direccion_nueva,direccion_anterior,distancia_m,sec,mza,graf
1271,-32.95219633501896,-60.64640045259165,Presidente Roca 1353,Presidente Roca 1357,33.1,1.0,223.0,35.0
2550,-32.95221985207328,-60.64620544591286,9 de Julio,Presidente Roca 1357,55.0,1.0,223.0,35.0
3480,-32.952291361940624,-60.64640912860907,9 de Julio 1570,Presidente Roca 1367,39.1,1.0,223.0,34.0
470,-32.953246500000006,-60.6426565,9 de Julio,9 de Julio 1276,30.2,1.0,226.0,28.0
16273,-32.954059452188005,-60.63570775137763,Francisco Narciso Laprida 1347,Francisco Narciso Laprida 1347,33.1,1.0,231.0,25.0
6542,-32.9548109919878,-60.6316861855526,Primero de Mayo 1356,9 de Julio 544,51.3,1.0,233.0,18.0
8812,-32.954478764578305,-60.63272982481254,Juan Manuel de Rosas 1339,3 de Febrero 559,53.4,1.0,233.0,38.0
17343,-32.954804842057044,-60.63129582706156,Primero de Mayo 1345,Primero de Mayo 1333,31.6,1.0,234.0,38.0
18051,-32.954601832089686,-60.63067857846084,3 de Febrero 453,3 de Febrero 477,33.5,1.0,234.0,40.0
18056,-32.954935687906854,-60.63110322626126,Primero de Mayo 1353,9 de Julio 450,36.6,1.0,234.0,37.0
10657,-32.955051298217136,-60.62883135285468,Ayacucho 1334,3 de Febrero 345,44.1,1.0,235.0,14.0
14449,-32.95572079162879,-60.6268534269359,Cristóbal Colón 1361,9 de Julio 172,36.8,1.0,237.0,23.0
15294,-32.955768717582984,-60.62696806967495,Cristóbal Colón 1369,9 de Julio 172,30.5,1.0,237.0,23.0
17093,-32.95535001797713,-60.62655519256217,3 de Febrero 157,3 de Febrero 183,37.0,1.0,237.0,32.0
17492,-32.956043364578086,-60.62648634783307,9 de Julio 134,Necochea 1354,42.0,1.0,237.0,19.0
5980,-32.955364082995615,-60.62637787934295,3 de Febrero 143,3 de Febrero 183,56.6,1.0,237.0,32.0
18518,-32.951835992643595,-60.65473902704968,Bulevar Nicasio Oroño 1453,Zeballos 2122,52.8,1.0,239.0,20.0
21291,-32.95200292706536,-60.65343441988292,Zeballos 2050,Balcarce 1441,34.7,1.0,240.0,36.0
1008,-32.95272883830678,-60.649448253447446,Italia 1443,Italia 1447,32.4,1.0,243.0,29.0
2989,-32.95284551755827,-60.64973721408887,Italia 1461,Zeballos 1790,38.6,1.0,243.0,28.0
3330,-32.95317490794634,-60.64941642860149,Zeballos 1760,España 1476,74.6,1.0,243.0,26.0
4794,-32.95325234085056,-60.649454674884495,Zeballos 1762,España 1476,79.6,1.0,243.0,26.0
2681,-32.95333688586817,-60.64777053321593,Zeballos 1640,Presidente Roca 1476,48.8,1.0,244.0,16.0
18638,-32.9544305,-60.642166,Zeballos 1234,Bartolomé Mitre 1480,30.2,1.0,248.0,13.0
11017,-32.954619303932134,-60.6404102183034,Sarmiento,Zeballos,57.8,1.0,249.0,13.0
18763,-32.95419040631394,-60.64082996176557,9 de Julio,9 de Julio 1155,32.2,1.0,249.0,5.0
15996,-32.95419802456064,-60.63875579583744,9 de Julio 1007,9 de Julio,56.5,1.0,250.0,4.0
17709,-32.95429677625571,-60.63878199086758,José de San Martín 1412,9 de Julio,53.2,1.0,250.0,4.0
14484,-32.9544685,-60.63745749999999,9 de Julio 915,9 de Julio 961,64.3,1.0,251.0,2.0
14866,-32.954496245454216,-60.637661499312514,9 de Julio 931,9 de Julio 961,41.4,1.0,251.0,2.0
7341,-32.95459904250062,-60.6374709917964,Maipú 1422,9 de Julio 961,63.0,1.0,251.0,2.0
18134,-32.95632689050294,-60.63284441047006,Zeballos 566,Zeballos 566,35.8,1.0,255.0,28.0
