ph,year,seccion,manzana,grafico,division,latitud,longitud,direccion_nominatim
13123,1993.0,1.0,14.0,2.0,,-32.93565566666667,-60.64511833333333,Almirante Brown 1777
13549,1995.0,1.0,14.0,26.0,,-32.93582271428571,-60.64537514285714,Italia 29
14530,1998.0,1.0,14.0,26.0,,-32.93582271428571,-60.64537514285714,Italia 29
14707,1999.0,1.0,14.0,7.0,,-32.93574339999999,-60.6443676,Almirante Brown 1701
16763,2008.0,1.0,14.0,6.0,,-32.93577957142857,-60.644494,Almirante Brown 1713
16802,2008.0,1.0,14.0,9.0,,-32.93585385714285,-60.64438100000001,España 40
17778,2010.0,1.0,14.0,10.0,,-32.93588542857143,-60.64451678571429,España 41
19803,2016.0,1.0,14.0,12.0,,-32.936029222222224,-60.64463388888888,España 42
19835,2016.0,1.0,14.0,16.0,,-32.936498,-60.644573,Italia 51
20435,2018.0,1.0,14.0,1.0,,-32.9355888,-60.6453696,Almirante Brown 1799
22203,2023.0,1.0,14.0,4.0,,-32.93583918181818,-60.64470272727274,Almirante Brown 1733
22208,2023.0,1.0,14.0,19.0,,-32.93644866666667,-60.64527316666667,Jujuy 1772
2407,1967.0,1.0,14.0,23.0,,-32.93642,-60.64567314285715,Italia 91
2408,1966.0,1.0,14.0,24.0,,-32.936271,-60.645568,Italia 94
3135,1969.0,1.0,14.0,11.0,,-32.935992,-60.64441571428572,España 34
3524,1970.0,1.0,14.0,13.0,,-32.9361138,-60.6447183,España 54
4449,1972.0,1.0,14.0,23.0,,-32.93642,-60.64567314285715,Italia 91
9094,1981.0,1.0,14.0,17.0,,-32.93650085714286,-60.64488671428571,Jujuy 1730
9376,1982.0,1.0,14.0,16.0,,-32.936498,-60.644573,Italia 51
10270,1984.0,1.0,15.0,1.0,,-32.936009166666665,-60.643923583333326,España 23
11915,1989.0,1.0,15.0,28.0,,-32.936363,-60.6440106,España 61
1411,1962.0,1.0,15.0,10.0,,-32.936210499999994,-60.643089,Presidente Roca 30
14669,1999.0,1.0,15.0,21.0,,-32.93661433333334,-60.64393983333333,Jujuy 1678
15424,2003.0,1.0,15.0,26.0,,-32.93647966666667,-60.644183,España 75
15430,2003.0,1.0,15.0,11.0,,-32.93627054545455,-60.643214545454526,Presidente Roca 38
15656,2004.0,1.0,15.0,6.0,,-32.9360629,-60.64318369999999,Almirante Brown 1611
15999,2005.0,1.0,15.0,27.0,,-32.9364072,-60.6441874,España 69
16406,2007.0,1.0,15.0,1.0,,-32.936009166666665,-60.643923583333326,España 23
17888,2011.0,1.0,15.0,13.0,,-32.93647299999999,-60.643299142857146,Presidente Roca 50
